1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,y,z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6988,27.48,-1.00364
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-196.319,2.48572,-0.777573
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.6001,10.1323,-0.618701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9251,11.8101,-0.6092
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.991605,99.0084,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,19.0978,13.7048,-0.795394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00738,20.1696,-0.613383
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3452,24.775,-0.757578
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,52.5569,42.3291,5.11391,0,0,0,0,0,0,0,5.11391,52.5569,42.3291,0,0,0,0,0,-9.42012,30.1058,-0.647097
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9918,6.85747,-0.520358
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,4.21569,7.27383,-0.568168
42.2395,0,0,0,5.17368,52.5868,0,0,0,0,0,0,0,0,0,26.2934,5.17368,21.1197,0,5.17368,42.2395,0,0,0,0,0,21.1197,52.5868,21.1197,5.17368,0,0,0,23.1613,10.0563,-0.440086
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,13.6569,11.1347,-0.517741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7986,11.7035,-0.473428
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.206631,0.0944954,70.8394,14.5396,14.3199,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-1.135,13.1148,-0.491
11.1111,0,0,0,11.1111,44.4444,33.3333,0,0,0,0,0,0,0,11.1111,11.1111,33.3333,11.1111,11.1111,11.1111,11.1111,0,11.1111,0,22.2222,0,22.2222,11.1111,11.1111,11.1111,0,11.1111,0,-15.5765,17.7738,-0.421955
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-2.85477,18.3514,-0.440563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8997,18.5561,-0.568785
0,0,0,0,80,20,0,0,0,0,0,0,20,0,20,0,60,0,0,0,0,0,0,0,0,0,0,0,20,20,0,60,0,-1.11533,22.3137,-0.504624
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-31.6285,-4.21452,-0.351958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.7662,-3.08311,-0.242013
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,-31.7328,-2.82712,-0.349578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.2016,-2.67641,-0.313448
0,0,0,0,0,27.7549,0,0,0,0,72.2451,0,0,16.1343,16.7399,0.771813,25.6057,1.37746,39.3709,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-22.4876,2.08126,-0.37352
