0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.991605,99.0084,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,52.5569,42.3291,5.11391,0,0,0,0,0,0,0,5.11391,52.5569,42.3291,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
42.2395,0,0,0,5.17368,52.5868,0,0,0,0,0,0,0,0,0,26.2934,5.17368,21.1197,0,5.17368,42.2395,0,0,0,0,0,21.1197,52.5868,21.1197,5.17368,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.206631,0.0944954,70.8394,14.5396,14.3199,0,0,0,0,0,0,0,0,100,0,0,0,0,0
11.1111,0,0,0,11.1111,44.4444,33.3333,0,0,0,0,0,0,0,11.1111,11.1111,33.3333,11.1111,11.1111,11.1111,11.1111,0,11.1111,0,22.2222,0,22.2222,11.1111,11.1111,11.1111,0,11.1111,0
